Attenuator_dB,N,N_env,A,A_env,tau,C,T,lambda_nm,t_s
23,86,23,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
23,90,23,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
23,107,23,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
23,94,23,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
23,90,23,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
23,97,23,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
23,112,23,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
23,84,23,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
23,104,23,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
23,82,23,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1

38,511,38,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
38,472,38,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
38,511,38,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
38,535,38,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
38,494,38,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
38,521,38,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
38,470,38,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
38,482,38,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
38,477,38,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
38,458,38,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1

35,957,35,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
35,885,35,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
35,884,35,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
35,880,35,1e-9,1e-12,2e-7,0.4766,0.985,850.7,1
